member_casual,month,month_num,total_rides,avg_ride_length
casual,January,1,23878,13.02
casual,February,2,40077,14.16
casual,March,3,84812,16.92
casual,April,4,127037,16.73
casual,May,5,175655,20.83
casual,June,6,278702,21.91
casual,July,7,308446,21.44
casual,August,8,323533,21.71
casual,September,9,254727,19.55
casual,October,10,214380,18.09
casual,November,11,94719,15.46
casual,December,12,27088,12.88
member,January,1,109865,11.61
member,February,2,157240,10.75
member,March,3,223654,11.33
member,April,4,308478,11.55
member,May,5,313996,11.9
member,June,6,379523,12.85
member,July,7,430394,13.15
member,August,8,443130,13.08
member,September,9,440954,12.62
member,October,10,414094,12.12
member,November,11,251924,11.68
member,December,12,109371,11.7
