station_name,ride_count,rider_type
Navy Pier,32176,casual
DuSable Lake Shore Dr & Monroe St,31089,casual
Michigan Ave & Oak St,22259,casual
DuSable Lake Shore Dr & North Blvd,19275,casual
Streeter Dr & Grand Ave,18913,casual
Millennium Park,18570,casual
Shedd Aquarium,16559,casual
Theater on the Lake,15639,casual
Dusable Harbor,15171,casual
Michigan Ave & 8th St,10883,casual
Montrose Harbor,10483,casual
Adler Planetarium,9867,casual
Field Museum,9823,casual
Clark St & Lincoln Ave,9379,casual
Clark St & Armitage Ave,9313,casual
